"","longitude","latitude","begin","end","ID"
"159",-120.12842,33.89511,"2007-05-07","2007-08-02","doi:10.6085/AA/SRSXXX_015ADCP015R00_20070507.50.8"
"160",-119.84155,34.066,"2006-03-13","2006-06-01","doi:10.6085/AA/PROXXX_015ADCP015R00_20060313.50.1"
"161",-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.9"
"162",-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.6"
"163",-120.63583,34.86919,"2000-12-05","2001-02-05","doi:10.6085/AA/PTSXXX_015ADCP015R00_20001205.50.4"
"164",-119.84155,34.066,"2005-12-08","2006-03-05","doi:10.6085/AA/PROXXX_015ADCP015R00_20051208.50.1"
"165",-121.8996,36.6214,"2001-12-06","2002-03-04","doi:10.6085/AA/HMS001_020ADCP019R00_20011206.50.1"
"166",-119.85566,33.96617,"2006-06-09","2006-08-31","doi:10.6085/AA/MORXXX_015ADCP015R00_20060609.50.3"
"167",-121.898647,36.62185,"2000-04-24","2000-05-30","doi:10.6085/AA/HMS001_020ADCP019R00_20000421.50.3"
"168",-121.9448,36.558,"2004-07-09","2004-10-12","doi:10.6085/AA/SWC001_022ADCP021R00_20040709.50.4"
"169",-122.08045,36.943421,"2003-01-20","2003-04-27","doi:10.6085/AA/TPT001_018ADCP018R00_20030120.50.5"
"170",-124.1196,44.32,"2005-06-08","2005-06-30","doi:10.6085/AA/YB15CX_015ADCP014R00_20050608.50.1"
"171",-119.69665,34.03065,"2003-01-28","2003-04-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20030128.50.1"
"172",-120.6268,34.726483,"2002-11-27","2003-03-12","doi:10.6085/AA/PURXXX_015ADCP015R00_20021127.50.1"
"173",-121.898647,36.62185,"2004-04-19","2004-07-13","doi:10.6085/AA/HMS001_020ADCP019R00_20040419.50.3"
